 71822 1371.82  160.29 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 71823 1377.27  160.63 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 71824 1578.70  164.67 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 71826 1474.22  166.61 99.999  9.999 16.710   0   0 9.999  755   5 0.042
 71827 1402.37  174.70 99.999  9.999 16.253   0   0 9.999  890   3 0.013
 71828 1556.14  172.40 99.999  9.999 17.384   0   0 9.999  845   1 0.036
 71829 1562.64  175.01 99.999  9.999 16.574   0   0 9.999  889   4 0.018
 71831 1364.94  176.23 99.999  9.999 16.725   0   0 9.999  923   5 0.016
 71832 1483.24  177.79 99.999  9.999 16.635   0   0 9.999  939   4 0.016
 71839 1410.32  197.38 99.999  9.999 16.075   0   0 9.999 1271   1 0.010
 71841 1583.06  199.20 99.999  9.999 16.560   0   0 9.999 1329   2 0.012
 71843 1515.40  206.75 19.877  3.329 16.548  37   0 0.272 1505   5 0.020
 71844 1363.49  207.89 19.661  3.235 16.427  38   1 0.088 1540   3 0.011
 71845 1551.07  210.52 19.870  3.521 16.348  40   0 0.072 1631   6 0.010
 71846 1574.01  213.30 19.191  3.062 16.129  41   1 0.033 1716   5 0.009
 71847 1636.74  212.95 19.803  3.275 16.528  40   0 0.085 1687   4 0.015
 71848 1506.18  220.29 19.721  3.021 16.700  45   1 0.050 1892   2 0.012
 71849 1322.97  225.86 19.644  3.081 16.563  50   0 0.058 2075   5 0.012
 71851 1439.28  227.14 20.031  3.181 16.850  51   0 0.078 2100   3 0.015
 71852 1546.28  228.55 19.709  3.107 16.601  51   1 0.052 2155   6 0.012
 71855 1579.81  241.57 19.764  3.281 16.483  58   1 0.062 2438   7 0.014
 71858 1418.52  245.79 19.450  2.958 16.491  64   1 0.049 2517   3 0.015
 71859 1613.18  247.91 20.069  3.834 16.236  66   0 0.145 2544   7 0.011
 71860 1406.46  250.48 19.830  3.145 16.685  67   0 0.065 2592   5 0.014
 71862 1372.36  255.32 19.647  3.152 16.496  69   0 0.046 2664   3 0.011
 71863 1485.68  255.69 19.489  2.647 16.842  70   0 0.053 2677   6 0.016
 71865 1388.84  256.25 19.727  2.932 16.795  69   0 0.073 2674   8 0.014
 71866 1649.13  256.52 19.861  3.107 16.754  69   0 0.065 2695   9 0.015
 71869 1321.19  266.75 19.723  3.117 16.605  70   1 0.048 2827   6 0.012
 71870 1605.15  269.46 20.374  3.614 16.760  72   1 0.101 2863   6 0.014
 71871 1473.76  272.58 19.390  3.298 16.092  75   0 0.051 2905   3 0.010
 71873 1555.85  276.37 19.604  3.223 16.381  78   0 0.046 2949   7 0.010
 71875 1634.13  280.57 17.729  1.418 16.310  81   0 0.013 2986   5 0.010
 71876 1426.70  289.24 19.471  3.247 16.224  81   0 0.042 3049   7 0.009
 71877 1624.23  290.97 19.682  3.321 16.360  81   0 0.054 3066   5 0.011
 71879 1392.70  297.63 19.911  3.171 16.740  84   0 0.065 3116  10 0.013
 71883 1510.27  302.95 19.914  3.451 16.462  87   0 0.066 3151   6 0.011
 71885 1563.13  303.49 19.401  2.909 16.492  85   1 0.039 3154   7 0.012
 71886 1648.31  303.27 19.724  3.043 16.681  86   0 0.057 3147   8 0.013
 71887 1357.96  306.25 19.544  3.174 16.370  85   1 0.054 3173   7 0.011
 71890 1337.85  310.16 19.668  2.850 16.819  87   0 0.057 3191   6 0.014
 71893 1360.47  311.42 19.438  2.955 16.484  86   0 0.049 3196   8 0.012
 71894 1412.02  314.38 18.866  2.877 15.989  87   0 0.028 3215   5 0.008
 71899 1475.14  327.09 18.109  1.831 16.278  89   0 0.018 3258   4 0.011
 71900 1441.18  332.83 18.448  1.811 16.638  88   1 0.021 3263  10 0.012
 71901 1470.33  333.08 19.676  3.316 16.360  88   0 0.070 3266  10 0.012
 71903 1444.16  338.42 19.822  3.057 16.765  87   0 0.056 3274   8 0.014
 71904 1536.82  337.92 19.865  3.170 16.695  87   0 0.041 3271  11 0.013
 71905 1344.26  339.54 19.709  2.926 16.783  87   0 0.056 3278   5 0.013
 71906 1643.83  341.80 19.811  3.470 16.340  88   0 0.059 3280   7 0.010
 71908 1630.24  343.05 19.518  3.121 16.398  88   0 0.041 3279   8 0.010
 71910 1410.10  347.29 19.266  2.906 16.360  87   0 0.042 3287   5 0.011
 71911 1466.52  347.24 19.974  3.304 16.670  87   0 0.071 3281   9 0.013
 71912 1334.47  352.54 19.606  3.065 16.542  87   0 0.056 3294   4 0.014
 71917 1432.19  357.58 18.882  2.946 15.936  88   0 0.026 3294   9 0.008
 71919 1460.63  357.11 20.005  3.156 16.849  85   2 0.052 3286  10 0.014
 71923 1583.03  361.26 18.273  1.413 16.859  88   1 0.015 3292  11 0.014
 71924 1631.87  362.31 19.484  3.050 16.433  87   0 0.052 3299   5 0.010
 71926 1428.07  365.69 19.626  2.939 16.687  86   1 0.049 3294   9 0.013
 71927 1511.29  366.83 18.289  1.588 16.701  89   0 0.017 3293  10 0.012
 71928 1554.46  368.47 19.785  3.060 16.725  86   1 0.057 3294   9 0.013
 71929 1632.81  369.75 20.035  3.430 16.605  87   0 0.071 3296   5 0.013
 71930 1377.29  375.35 19.685  3.349 16.336  88   0 0.055 3295  10 0.011
 71931 1597.13  375.20 19.789  3.044 16.745  88   0 0.060 3295   9 0.013
 71933 1605.00  376.40 19.631  2.922 16.710  87   0 0.053 3297   8 0.013
 71934 1378.18  381.31 20.077  3.960 16.117  86   1 0.072 3297   9 0.010
 71939 1593.43  397.58 20.027  3.414 16.612  86   0 0.065 3296   8 0.012
 71941 1486.53  401.79 19.499  3.205 16.294  87   0 0.045 3298   8 0.010
 71943 1616.87  402.78 19.502  3.055 16.447  88   0 0.049 3295  11 0.011
 71945 1648.29  403.88 19.354  3.037 16.318  88   0 0.043 3300   5 0.010
 71947 1449.08  410.02 19.497  2.840 16.657  87   0 0.050 3301   5 0.014
 71949 1427.52  412.69 19.605  2.955 16.650  87   0 0.054 3300   5 0.014
 71955 1350.72  425.41 19.757  2.897 16.861  87   0 0.061 3297   8 0.016
 71958 1400.03  429.38 19.715  3.142 16.574  86   1 0.046 3300   5 0.012
 71959 1466.68  432.92 19.946  3.173 16.773  87   0 0.076 3294  10 0.013
 71960 1499.32  434.19 19.803  3.020 16.783  86   1 0.051 3293  11 0.013
 71964 1531.29  439.03 20.113  3.382 16.731  87   0 0.074 3291  13 0.013
 71965 1490.42  440.55 18.477  1.794 16.682  86   2 0.014 3294  11 0.013
 71966 1456.43  440.91 19.916  3.195 16.721  86   0 0.061 3297   8 0.014
 71967 1452.09  447.25 19.217  2.652 16.565  88   0 0.039 3299   6 0.014
 71969 1399.75  446.86 19.482  2.984 16.498  87   0 0.040 3299   7 0.011
 71971 1483.05  447.51 18.349  1.946 16.403  89   0 0.016 3299   6 0.011
 71974 1333.37  450.50 19.578  2.958 16.620  86   1 0.057 3296   8 0.012
 71976 1473.53  451.42 19.879  3.152 16.727  87   0 0.056 3292  11 0.017
 71977 1612.74  453.17 19.704  2.923 16.781  87   0 0.063 3297   8 0.016
 71978 1600.91  454.69 19.636  3.353 16.283  87   0 0.052 3300   6 0.010
 71979 1370.52  455.98 19.510  3.159 16.350  88   0 0.051 3301   5 0.012
 71980 1570.75  466.04 19.729  3.072 16.657  87   0 0.061 3299   6 0.012
 71982 1561.99  469.87 20.042  3.558 16.485  86   0 0.077 3296   9 0.011
 71983 1581.84  476.16 19.711  3.005 16.706  87   0 0.040 3294  11 0.013
 71984 1329.79  479.74 18.067  1.462 16.605  88   1 0.015 3292  12 0.012
 71985 1414.06  479.71 19.741  2.902 16.839  87   1 0.063 3296   9 0.018
 71986 1543.52  482.77 17.981  1.484 16.497  89   0 0.018 3295  11 0.011
 71987 1621.12  483.22 18.794  2.174 16.621  88   0 0.031 3297   6 0.012
 71989 1328.74  484.72 19.901  3.104 16.797  89   0 0.074 3296   9 0.015
 71991 1405.94  493.18 18.789  9.999 99.999  89   0 0.063    0   0 9.999
 72024 1413.18  196.37 99.999  9.999 17.293   0   0 9.999 1272   0 0.036
 72026 1637.15  217.05 20.456  3.649 16.807  40   0 0.137 1807   6 0.021
 72027 1439.11  222.35 20.559  2.845 17.714  46   1 0.097 1988   6 0.029
 72028 1488.20  255.28 19.489  2.391 17.099  70   0 0.053 2663   4 0.019
 72031 1336.30  306.39 20.607  2.787 17.820  85   1 0.121 3168   5 0.034
 72036 1483.44  405.19 18.991  1.847 17.143  88   0 0.026 3295   5 0.020
 72037 1347.40  425.12 20.045  2.519 17.526  87   0 0.084 3297   6 0.027
 72038 1404.15  430.81 19.045  1.724 17.321  87   0 0.033 3298   7 0.024
 72039 1452.72  445.11 19.217  2.233 16.984  88   0 0.039 3300   5 0.019
 72045 1586.36  155.21 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72047 1565.62  158.88 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72048 1609.04  160.65 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72049 1630.81  160.54 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72051 1368.54  164.05 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72053 1364.30  166.00 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 72054 1388.02  166.12 99.999  9.999 17.624   0   0 9.999  758   2 0.144
 72055 1404.09  166.09 99.999  9.999 99.999   0   0 9.999    0   0 9.999
