2457790.86936 19.150 0.076 6.18 471.0
2457790.88488 19.222 0.094 4.73 1296.0
2457791.86446 19.171 0.066 5.53 424.0
2457792.86072 19.218 0.084 6.43 582.0
2457793.85815 19.147 0.070 5.27 646.0
2457793.88977 18.992 0.079 4.53 1435.0
2457794.85890 19.135 0.098 6.55 799.0
2457795.87104 19.310 0.107 6.14 767.0
2457796.88084 19.197 0.062 4.32 627.0
2457797.88475 19.068 0.066 4.66 774.0
2457798.88611 19.129 0.070 4.94 625.0
2457799.87914 18.983 0.070 5.84 574.0
2457800.86552 19.153 0.058 4.73 481.0
2457801.85650 19.246 0.087 5.55 673.0
2457802.84237 19.163 0.090 6.39 562.0
2457803.83644 19.094 0.082 5.33 916.0
2457803.88309 19.225 0.075 4.46 835.0
2457807.84278 19.182 0.063 5.37 374.0
2457807.88942 19.186 0.051 4.17 384.0
2457808.89198 19.186 0.057 4.37 431.0
2457809.85306 19.055 0.063 6.01 391.0
2457809.90019 19.087 0.065 5.04 572.0
2457810.84903 19.259 0.059 4.68 400.0
2457810.90710 19.029 0.108 5.41 1733.0
2457812.87085 19.042 0.045 4.30 401.0
2457813.81520 19.138 0.075 6.14 510.0
2457814.82468 19.205 0.058 4.79 411.0
2457814.87049 19.257 0.052 4.21 366.0
2457815.83656 19.132 0.059 5.27 428.0
2457815.88363 19.190 0.054 4.59 360.0
2457816.82823 19.169 0.071 5.66 411.0
2457816.87354 19.120 0.055 5.02 355.0
2457817.82478 19.074 0.051 4.55 452.0
2457817.87010 19.175 0.046 3.80 405.0
2457818.81101 19.156 0.058 5.25 404.0
2457818.85629 19.099 0.048 4.52 396.0
2457818.90144 19.190 0.056 4.40 457.0
2457819.83614 19.131 0.052 4.46 354.0
2457819.88785 19.152 0.044 3.74 329.0
2457820.84488 19.047 0.053 4.74 426.0
2457820.89056 19.194 0.050 4.07 374.0
2457821.82894 19.204 0.074 5.68 423.0
2457821.87333 19.205 0.067 5.04 422.0
2457822.82133 19.219 0.079 5.49 592.0
2457822.86605 19.219 0.067 5.11 427.0
2457823.80695 19.147 0.072 5.13 645.0
2457823.85127 19.121 0.056 4.15 553.0
2457823.89596 19.189 0.057 4.42 464.0
2457824.84742 19.042 0.070 5.69 567.0
2457824.89194 19.262 0.076 5.37 504.0
2457825.83912 19.141 0.061 4.79 540.0
2457825.88346 18.990 0.052 4.50 513.0
2457826.79739 19.134 0.074 5.39 646.0
2457826.84264 19.066 0.058 4.66 591.0
2457826.88733 19.200 0.074 5.45 536.0
2457827.81644 19.177 0.062 4.54 526.0
2457827.86082 19.233 0.066 4.84 467.0
2457827.90569 19.255 0.061 4.06 511.0
2457828.83026 19.043 0.060 5.16 520.0
2457828.87488 19.087 0.052 4.22 474.0
2457829.80763 19.262 0.085 5.35 630.0
2457829.85910 19.133 0.077 5.13 712.0
2457830.85325 19.086 0.059 4.42 687.0
2457830.89487 19.293 0.069 4.54 561.0
2457834.80214 19.178 0.065 5.34 393.0
2457834.84898 19.199 0.061 5.18 361.0
2457834.89655 19.101 0.052 4.71 365.0
2457835.76998 19.073 0.069 6.61 333.0
2457835.84774 19.213 0.095 7.28 344.0
2457835.89438 19.187 0.059 5.22 340.0
2457836.78313 19.152 0.085 7.31 348.0
2457836.83156 19.198 0.060 5.44 318.0
2457836.88082 19.113 0.069 6.34 320.0
2457837.75275 19.280 0.072 6.27 321.0
2457837.79938 19.249 0.068 6.01 303.0
2457837.84546 19.050 0.050 5.25 309.0
2457837.89256 19.267 0.051 4.34 317.0
2457838.76818 19.198 0.076 6.18 375.0
2457838.82355 19.013 0.047 4.65 358.0
2457838.87066 19.107 0.046 4.33 347.0
2457838.91886 19.132 0.064 4.37 695.0
2457839.77990 19.205 0.045 4.14 287.0
2457839.83544 19.142 0.042 3.87 285.0
2457839.88595 19.162 0.043 3.79 282.0
2457840.75823 19.167 0.071 6.15 339.0
2457840.81026 19.289 0.070 5.67 303.0
2457840.86097 19.182 0.051 4.53 306.0
2457840.90934 19.194 0.049 4.41 321.0
2457841.78566 19.315 0.091 6.93 314.0
2457841.83174 19.281 0.074 5.95 311.0
2457841.88034 19.282 0.096 7.27 337.0
2457842.73338 19.203 0.082 7.13 340.0
2457842.77974 19.111 0.067 6.36 313.0
2457842.82563 19.050 0.047 4.94 309.0
2457842.87231 19.124 0.059 5.50 334.0
2457843.73781 19.051 0.061 6.09 328.0
2457843.78347 19.201 0.062 5.65 294.0
2457843.83902 19.210 0.062 5.77 286.0
2457843.88631 19.182 0.054 5.07 277.0
2457844.73393 19.082 0.057 5.68 335.0
2457844.78002 19.190 0.048 4.52 296.0
2457844.83538 19.186 0.073 6.47 308.0
2457844.88166 19.240 0.085 6.97 317.0
2457845.72597 19.237 0.080 6.42 363.0
2457845.77335 19.046 0.049 4.91 319.0
2457845.82914 19.148 0.049 4.76 301.0
2457845.87579 19.106 0.047 4.60 299.0
2457845.92247 19.217 0.079 5.04 670.0
2457846.77515 19.143 0.053 5.10 297.0
2457846.82108 19.174 0.048 4.41 294.0
2457846.86739 19.104 0.045 4.38 305.0
2457846.91503 19.101 0.051 4.67 340.0
2457847.75463 19.261 0.068 5.55 335.0
2457847.80094 19.129 0.054 4.94 321.0
2457847.85709 19.085 0.058 5.45 315.0
2457847.90617 19.103 0.049 4.87 304.0
2457848.73814 19.053 0.072 6.66 362.0
2457848.78403 19.146 0.051 4.82 302.0
2457848.82960 19.181 0.051 4.88 294.0
2457848.88764 19.200 0.046 4.28 288.0
2457849.72053 19.088 0.076 6.49 492.0
2457849.76607 19.130 0.048 4.56 376.0
2457849.81240 19.116 0.041 3.77 311.0
2457849.86941 19.228 0.043 3.77 302.0
2457849.91774 19.245 0.049 3.54 419.0
2457850.74776 19.168 0.071 5.63 444.0
2457850.79430 19.121 0.063 5.43 382.0
2457850.84148 19.080 0.047 4.75 323.0
2457850.89899 19.147 0.052 4.88 312.0
2457851.73460 19.213 0.077 5.58 520.0
2457851.78077 19.263 0.077 5.39 445.0
2457851.82714 19.174 0.059 4.85 394.0
2457851.88565 19.158 0.048 4.59 323.0
2457852.74620 19.212 0.105 7.47 476.0
2457852.85592 19.135 0.075 6.59 375.0
2457852.90527 18.989 0.073 7.57 305.0
2457853.86458 19.109 0.092 7.33 428.0
2457853.89388 19.125 0.067 5.77 403.0
2457853.92439 19.156 0.093 6.47 597.0
2457854.73454 19.170 0.066 4.86 605.0
2457854.78503 19.087 0.050 3.91 528.0
2457854.83642 19.064 0.060 4.94 496.0
2457854.88666 19.166 0.064 4.77 489.0
2457855.73369 19.182 0.067 4.88 670.0
2457855.78028 19.240 0.060 4.04 580.0
2457855.82688 19.117 0.063 4.48 560.0
2457855.88723 19.228 0.055 3.78 540.0
2457856.70962 19.181 0.106 6.86 662.0
2457856.75774 19.135 0.090 6.47 570.0
2457856.80629 19.107 0.076 5.85 526.0
2457856.85340 19.099 0.071 5.66 525.0
2457856.91331 19.062 0.093 7.08 541.0
2457857.84140 19.109 0.125 7.09 1092.0
2457857.86335 19.121 0.107 7.21 580.0
2457857.90770 19.165 0.071 4.96 619.0
2457858.78657 19.221 0.060 4.67 456.0
2457858.82322 19.169 0.060 4.60 506.0
2457858.85945 19.303 0.091 6.17 533.0
2457858.90830 19.178 0.069 5.23 510.0
2457862.70082 19.169 0.059 5.10 407.0
2457862.74795 19.138 0.066 5.76 391.0
2457862.79512 19.177 0.069 5.62 382.0
2457862.84333 19.131 0.061 5.56 377.0
2457862.90392 19.081 0.079 6.67 395.0
2457863.77247 19.162 0.062 5.58 341.0
2457863.83508 19.260 0.065 5.12 395.0
2457863.90489 19.122 0.056 4.92 385.0
2457864.73101 19.268 0.050 4.50 307.0
2457864.81197 19.193 0.040 3.53 313.0
2457864.86367 19.146 0.044 3.73 343.0
2457864.91446 19.106 0.045 3.98 381.0
2457865.70395 19.068 0.052 5.14 335.0
2457865.92049 19.131 0.053 4.20 477.0
2457866.71517 19.197 0.052 4.25 344.0
2457866.76172 19.183 0.047 3.83 330.0
2457866.87900 19.140 0.041 3.40 355.0
2457866.92622 19.098 0.044 3.28 501.0
2457867.73407 19.168 0.043 3.75 312.0
2457867.78081 19.206 0.045 3.80 305.0
2457867.84712 19.192 0.049 4.26 313.0
2457867.89693 19.229 0.046 3.79 317.0
2457868.75857 19.099 0.067 5.95 355.0
2457868.81548 19.117 0.084 7.13 357.0
2457868.87881 19.152 0.108 8.84 391.0
2457869.67171 19.251 0.069 6.19 336.0
2457869.72797 19.121 0.053 5.07 335.0
2457869.77414 19.194 0.047 4.10 317.0
2457869.83083 19.097 0.040 3.77 314.0
2457869.89051 19.104 0.045 3.87 375.0
2457870.70166 19.143 0.048 4.64 322.0
2457870.75487 19.093 0.038 3.60 296.0
2457870.81100 19.103 0.043 4.11 309.0
2457870.86927 19.147 0.043 3.50 327.0
2457870.91684 19.131 0.045 3.86 336.0
2457871.77025 19.099 0.041 3.64 345.0
2457871.84273 19.063 0.039 3.31 330.0
2457871.89595 19.188 0.049 3.83 360.0
2457872.67046 19.134 0.051 4.69 376.0
2457872.73954 19.160 0.044 3.75 351.0
2457872.79651 19.106 0.035 3.14 330.0
2457872.86979 19.213 0.046 3.65 352.0
2457872.91936 19.252 0.051 3.79 397.0
2457873.68854 19.086 0.047 4.51 358.0
2457873.73442 19.092 0.043 4.01 336.0
2457873.78115 19.166 0.038 3.20 307.0
2457873.84006 19.118 0.043 3.66 339.0
2457873.90101 19.225 0.051 4.04 368.0
2457874.66378 19.130 0.079 6.89 405.0
2457874.70973 19.291 0.071 5.53 365.0
2457874.76501 19.111 0.083 6.88 371.0
2457874.82328 19.135 0.066 5.75 340.0
2457874.87252 19.107 0.057 4.79 422.0
2457874.91947 19.129 0.063 5.41 412.0
2457875.80776 19.013 0.040 4.06 465.0
2457875.87641 19.244 0.064 4.89 519.0
2457875.91272 19.151 0.059 5.06 523.0
2457876.65972 19.074 0.082 7.14 518.0
2457876.70670 19.097 0.058 5.23 414.0
2457876.75480 19.243 0.053 4.26 365.0
2457876.81380 19.214 0.042 3.31 353.0
2457876.87565 19.041 0.057 5.19 392.0
2457876.93277 19.064 0.052 4.11 557.0
2457877.68389 19.212 0.063 5.18 408.0
2457877.74039 19.192 0.044 3.44 361.0
2457877.79764 19.203 0.044 3.59 355.0
2457877.84795 19.247 0.054 3.68 439.0
2457877.89942 19.120 0.054 4.09 444.0
2457878.73561 19.168 0.042 3.38 396.0
2457878.79417 19.083 0.040 3.56 372.0
2457878.85456 19.173 0.043 3.45 367.0
2457878.90167 19.123 0.044 3.76 420.0
2457879.66113 19.217 0.092 7.11 493.0
2457879.71062 19.042 0.062 5.77 420.0
2457879.75648 19.062 0.079 6.20 537.0
2457879.84241 19.103 0.072 6.23 388.0
2457880.66206 19.169 0.089 7.00 479.0
2457880.70858 19.216 0.087 6.63 446.0
2457880.75451 19.152 0.064 5.14 439.0
2457880.81472 19.110 0.063 5.16 456.0
2457880.86824 19.254 0.076 5.68 429.0
2457881.74424 19.213 0.095 6.90 486.0
2457881.80151 19.164 0.065 4.83 539.0
2457881.85096 19.078 0.058 4.58 503.0
2457881.90383 19.214 0.103 7.23 481.0
2457882.69814 19.196 0.090 6.67 520.0
2457882.74400 19.184 0.069 5.17 494.0
2457882.80126 19.233 0.081 5.54 519.0
2457882.85993 19.174 0.072 5.06 582.0
2457882.91565 19.094 0.064 4.97 530.0
2457883.86384 19.160 0.109 6.67 689.0
2457889.92905 19.008 0.091 6.18 867.0
2457890.71122 19.167 0.075 5.72 471.0
2457890.77866 19.220 0.085 5.78 541.0
2457890.85388 19.049 0.061 4.91 543.0
2457890.90315 18.952 0.089 7.08 623.0
2457893.65938 19.072 0.083 7.20 409.0
2457893.70524 19.107 0.063 5.77 371.0
2457893.76113 19.192 0.066 5.38 397.0
2457893.81937 19.235 0.072 5.60 379.0
2457893.86664 19.145 0.062 5.09 412.0
2457893.91309 19.160 0.070 5.36 464.0
2457894.60222 19.181 0.088 7.62 471.0
2457894.64316 19.227 0.067 5.74 415.0
2457894.68919 19.217 0.051 4.53 347.0
2457894.75401 19.227 0.048 4.10 325.0
2457894.80179 19.165 0.057 4.73 366.0
2457894.84848 19.207 0.045 3.57 365.0
2457894.89563 19.115 0.058 4.89 411.0
2457894.94109 19.238 0.100 5.46 917.0
2457895.64158 19.110 0.057 5.30 515.0
2457895.78928 19.214 0.056 4.64 361.0
2457897.65347 19.197 0.068 5.87 375.0
2457897.69963 19.126 0.066 5.78 358.0
2457897.75013 19.035 0.055 5.56 433.0
2457900.91215 19.182 0.091 7.03 416.0
2457900.93052 19.075 0.093 7.73 430.0
2457901.63226 19.241 0.063 5.38 361.0
2457901.68128 19.080 0.057 5.65 370.0
2457901.75998 19.127 0.056 5.00 440.0
2457901.82007 19.106 0.054 4.88 375.0
2457902.58097 19.101 0.085 7.77 417.0
2457902.62607 19.143 0.071 6.37 356.0
2457902.67331 19.225 0.065 5.23 353.0
2457902.72930 19.150 0.048 4.32 345.0
2457902.78949 19.218 0.061 4.90 375.0
2457902.83555 19.123 0.082 6.63 402.0
2457902.93717 19.025 0.081 6.31 642.0
2457903.73218 18.963 0.074 7.48 319.0
2457903.79486 19.350 0.081 6.06 331.0
2457903.85086 19.112 0.065 5.57 401.0
2457903.89715 19.042 0.063 5.69 424.0
2457904.60521 19.032 0.064 6.63 381.0
2457904.65115 19.168 0.068 5.98 328.0
2457904.70461 19.140 0.045 4.25 289.0
2457904.76407 19.066 0.040 3.89 298.0
2457904.81235 19.090 0.045 4.31 324.0
2457904.85856 19.128 0.051 4.55 363.0
2457904.90413 19.208 0.083 6.25 419.0
2457905.57042 19.147 0.081 7.01 444.0
2457905.61731 19.183 0.061 5.48 357.0
2457905.66421 19.154 0.044 4.02 328.0
2457905.71995 19.187 0.043 3.72 310.0
2457905.77817 19.293 0.051 3.82 346.0
2457905.82554 19.129 0.046 3.84 389.0
2457905.87325 19.191 0.051 3.73 452.0
2457905.92895 19.168 0.073 5.41 500.0
2457906.58169 19.102 0.065 5.73 467.0
2457906.62759 19.218 0.058 4.71 379.0
2457906.68468 19.145 0.042 3.49 367.0
2457906.74034 19.108 0.042 3.88 356.0
2457906.79109 19.146 0.047 3.66 411.0
2457906.83812 19.178 0.053 4.01 445.0
2457906.88483 19.188 0.061 4.23 514.0
2457906.93104 19.025 0.068 5.20 685.0
2457907.62323 19.218 0.067 5.17 610.0
2457907.67594 19.328 0.073 4.54 655.0
2457907.72434 19.163 0.062 4.75 540.0
2457907.76396 19.093 0.051 4.41 445.0
2457907.89944 19.238 0.068 4.57 707.0
2457908.58714 19.148 0.088 6.56 595.0
2457908.63286 19.082 0.063 5.32 498.0
2457908.67962 19.178 0.055 4.30 442.0
2457908.73530 19.133 0.048 3.73 462.0
2457908.79414 19.058 0.054 4.59 455.0
2457908.84024 19.067 0.050 4.46 386.0
2457908.88743 19.177 0.076 5.65 481.0
2457909.57618 19.126 0.086 5.91 727.0
2457909.62385 19.212 0.069 4.75 524.0
2457909.68088 19.235 0.056 4.06 463.0
2457909.72796 19.194 0.048 3.30 461.0
2457909.77644 19.089 0.053 3.82 571.0
2457909.82366 19.188 0.055 3.71 540.0
2457909.86338 19.170 0.056 4.02 522.0
2457909.90763 19.100 0.066 4.82 637.0
2457909.93769 19.192 0.078 5.10 732.0
2457910.57812 19.083 0.076 5.81 603.0
2457910.62401 19.140 0.071 5.37 512.0
2457910.68040 19.218 0.060 4.36 464.0
2457910.74034 19.080 0.051 4.33 447.0
2457910.78762 19.268 0.055 3.61 483.0
2457910.83450 19.072 0.061 4.13 860.0
2457910.88964 19.188 0.058 4.22 454.0
2457911.55415 19.224 0.118 6.97 915.0
2457911.59145 19.231 0.103 6.41 717.0
2457911.63800 19.162 0.074 5.35 575.0
2457911.68495 19.179 0.063 4.52 540.0
2457911.75585 19.213 0.091 6.02 581.0
2457911.84752 19.015 0.094 6.84 681.0
2457916.56589 19.124 0.113 6.21 1297.0
2457916.60775 19.068 0.057 4.21 705.0
2457916.64858 19.139 0.061 4.09 700.0
2457916.68886 19.211 0.063 4.02 684.0
2457916.73318 19.191 0.064 4.23 637.0
2457916.77783 19.201 0.058 3.76 642.0
2457916.81882 19.129 0.065 4.21 693.0
2457917.57388 19.167 0.083 5.95 570.0
2457917.62365 19.115 0.085 6.58 483.0
2457917.67064 19.063 0.056 4.82 457.0
2457917.72033 19.153 0.059 4.41 481.0
2457917.76964 19.246 0.068 4.76 517.0
2457917.81563 19.128 0.073 5.26 591.0
2457917.86114 19.149 0.079 5.29 665.0
2457917.90771 19.090 0.094 6.02 836.0
2457918.59463 19.101 0.076 6.31 718.0
2457918.66969 19.001 0.059 4.69 712.0
2457922.58264 19.136 0.080 6.76 409.0
2457922.63125 19.060 0.055 4.98 425.0
2457922.68709 19.172 0.049 4.18 351.0
2457922.74590 19.242 0.070 5.36 406.0
2457923.55540 19.237 0.076 5.91 477.0
2457923.60012 19.005 0.058 5.73 385.0
2457923.64604 19.191 0.077 6.33 381.0
2457923.72167 19.144 0.071 5.92 399.0
