2457791.88602 17.398 0.020 4.51 1523.0
2457792.88880 17.404 0.025 5.67 1704.0
2457793.88024 17.372 0.014 4.52 593.0
2457794.88721 17.373 0.019 5.76 918.0
2457795.89125 17.377 0.019 4.90 1286.0
2457797.89084 17.392 0.018 4.64 1204.0
2457799.88529 17.374 0.017 5.32 720.0
2457801.87742 17.402 0.017 5.24 707.0
2457803.85794 17.411 0.017 4.57 1036.0
2457807.84428 17.361 0.013 5.12 416.0
2457808.89504 17.371 0.015 4.88 608.0
2457809.90325 17.381 0.018 4.74 1032.0
2457811.82578 17.406 0.015 5.72 467.0
2457812.85736 17.378 0.013 4.92 453.0
2457814.82621 17.385 0.014 5.48 458.0
2457815.85312 17.377 0.014 5.77 442.0
2457816.84490 17.389 0.014 5.25 420.0
2457817.84148 17.374 0.013 4.55 479.0
2457818.82769 17.405 0.012 4.57 441.0
2457819.80756 17.374 0.014 5.63 413.0
2457819.90497 17.390 0.014 4.30 632.0
2457821.81569 17.394 0.017 5.69 567.0
2457822.81109 17.374 0.018 5.89 708.0
2457822.90044 17.380 0.013 4.39 435.0
2457823.88564 17.358 0.013 4.12 529.0
2457824.88174 17.368 0.016 5.22 578.0
2457825.87333 17.374 0.015 5.06 563.0
2457826.83221 17.373 0.017 5.29 677.0
2457827.80775 17.366 0.014 4.93 598.0
2457827.89688 17.356 0.013 4.73 512.0
2457828.86587 17.388 0.014 4.69 524.0
2457829.84787 17.392 0.017 5.27 720.0
2457830.85628 17.382 0.014 4.60 558.0
2457834.85204 17.391 0.015 5.19 505.0
2457835.79451 17.364 0.019 7.76 367.0
2457836.76435 17.376 0.019 7.82 411.0
2457836.88384 17.381 0.016 6.52 349.0
2457837.81747 17.382 0.013 5.22 323.0
2457838.75601 17.387 0.016 6.24 435.0
2457838.87371 17.388 0.012 4.58 389.0
2457839.82173 17.385 0.011 3.82 313.0
2457840.74603 17.395 0.015 6.04 395.0
2457840.86551 17.387 0.014 5.24 338.0
2457841.80533 17.408 0.017 7.37 344.0
2457841.91559 17.355 0.018 6.35 517.0
2457842.83021 17.392 0.014 5.63 345.0
2457843.75469 17.403 0.014 5.54 342.0
2457843.87224 17.403 0.013 5.06 305.0
2457844.78152 17.379 0.011 4.38 319.0
2457844.90049 17.365 0.014 5.86 345.0
2457845.81504 17.380 0.013 5.09 348.0
2457846.74618 17.385 0.015 6.40 350.0
2457846.85302 17.367 0.012 4.76 331.0
2457847.75613 17.380 0.014 5.68 366.0
2457847.87416 17.406 0.014 5.63 341.0
2457848.77004 17.376 0.014 5.67 337.0
2457848.88914 17.366 0.011 4.02 309.0
2457849.78353 17.378 0.011 4.05 359.0
2457849.90191 17.362 0.011 3.88 327.0
2457850.79580 17.405 0.014 4.98 425.0
2457850.91647 17.365 0.014 5.29 432.0
2457851.81351 17.365 0.014 5.14 446.0
2457852.74771 17.357 0.019 7.05 521.0
2457853.87319 17.365 0.017 6.66 458.0
2457853.88521 17.393 0.017 6.56 444.0
2457854.73605 17.394 0.015 4.66 665.0
2457854.78200 17.378 0.013 4.22 587.0
2457854.85519 17.375 0.013 4.19 539.0
2457855.76573 17.385 0.014 4.19 671.0
2457855.88874 17.370 0.012 3.67 594.0
2457856.77438 17.371 0.017 5.82 597.0
2457856.89945 17.342 0.019 6.51 582.0
2457858.82471 17.358 0.014 4.61 561.0
2457862.73553 17.378 0.015 6.17 439.0
2457862.84639 17.385 0.014 5.49 422.0
2457863.79321 17.387 0.015 6.14 393.0
2457864.74996 17.387 0.011 4.15 341.0
2457864.90230 17.364 0.012 4.22 403.0
2457865.75260 17.381 0.013 5.02 372.0
2457866.74935 17.391 0.012 4.13 371.0
2457866.88202 17.361 0.011 3.40 398.0
2457867.75283 17.366 0.010 3.45 330.0
2457867.88416 17.408 0.012 4.45 351.0
2457868.81860 17.362 0.017 6.59 398.0
2457869.69868 17.364 0.013 5.38 364.0
2457869.81758 17.399 0.011 4.07 341.0
2457870.70469 17.377 0.012 4.39 348.0
2457870.83998 17.391 0.012 4.53 344.0
2457871.72576 17.399 0.012 4.15 395.0
2457871.85962 17.361 0.011 3.92 366.0
2457872.72561 17.370 0.011 3.81 386.0
2457872.87135 17.385 0.011 3.74 391.0
2457873.70529 17.379 0.012 4.31 402.0
2457873.81403 17.378 0.011 3.46 362.0
2457874.66526 17.371 0.015 6.16 441.0
2457874.79225 17.380 0.015 5.68 406.0
2457874.90563 17.391 0.015 5.61 467.0
2457875.87817 17.390 0.013 4.54 558.0
2457876.67652 17.385 0.016 5.91 528.0
2457876.79936 17.388 0.012 3.93 408.0
2457876.93427 17.384 0.015 4.50 718.0
2457877.75729 17.384 0.011 3.40 386.0
2457877.88568 17.364 0.013 4.28 505.0
2457878.79720 17.373 0.011 3.49 410.0
2457878.91998 17.377 0.012 3.62 504.0
2457879.74437 17.396 0.018 6.28 496.0
2457880.66566 17.369 0.018 6.94 528.0
2457880.77333 17.343 0.016 5.68 503.0
2457880.91566 17.380 0.018 6.43 511.0
2457881.85401 17.375 0.015 4.99 575.0
2457882.73028 17.401 0.015 5.18 543.0
2457882.86144 17.370 0.016 5.02 653.0
2457889.89290 17.404 0.023 6.07 1026.0
2457890.75550 17.388 0.017 5.86 577.0
2457890.91274 17.422 0.026 7.54 732.0
2457893.72250 17.368 0.015 5.65 425.0
2457893.85243 17.402 0.013 4.45 425.0
2457894.60372 17.360 0.018 7.26 507.0
2457894.71542 17.382 0.012 4.38 380.0
2457894.83466 17.404 0.013 4.46 413.0
2457894.94259 17.385 0.024 5.67 1353.0
2457897.63924 17.345 0.016 7.10 464.0
2457897.75407 17.379 0.013 5.55 456.0
2457900.93391 17.385 0.020 7.43 480.0
2457901.68616 17.381 0.014 5.66 395.0
2457901.83990 17.359 0.015 5.41 442.0
2457902.67481 17.383 0.012 4.40 369.0
2457902.80622 17.382 0.014 5.13 432.0
2457903.69376 17.374 0.018 7.48 351.0
2457903.85236 17.402 0.014 5.10 430.0
2457904.59326 17.383 0.018 7.41 445.0
2457904.70922 17.375 0.011 4.04 320.0
2457904.83220 17.394 0.012 4.42 370.0
2457904.94280 17.406 0.024 6.75 850.0
2457905.66917 17.375 0.011 3.93 359.0
2457905.79889 17.354 0.013 4.52 413.0
2457905.92566 17.372 0.015 5.34 535.0
2457906.61697 17.384 0.013 4.41 432.0
2457906.74582 17.391 0.011 3.56 402.0
2457906.85844 17.349 0.013 4.22 512.0
2457907.60807 17.403 0.015 5.35 675.0
2457907.73256 17.394 0.012 4.28 537.0
2457908.57838 17.406 0.020 6.42 687.0
2457908.68110 17.379 0.013 4.16 486.0
